#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  1.57196  0.000363579  0.000227465  -9.95815e-05  -2.57592e-05  1.36384e-05  3.41458e-05  -3.71079e-06  7.04204e-06  -6.4379e-07  -2.07464e-06  -1.26559e-05  1.12314e-05  -2.58845e-06  -1.49264e-05
0.0232889  3.59403  0.000832609  0.000522942  -0.00066406  -0.000110128  -3.19528e-06  -1.6113e-05  -4.56837e-08  -1.35319e-06  1.02553e-06  2.70268e-06  5.34569e-06  -5.12981e-07  -8.89537e-06  -1.29088e-06
0.0631556  8.49661  0.00197099  0.00123974  -0.00397172  -0.000628763  -0.000174561  -0.000556264  -3.76319e-06  3.76597e-05  1.43084e-06  -5.5166e-06  1.82922e-06  2.2909e-08  3.63023e-07  -6.96444e-07
0.1296  11.5553  0.0033689  0.00222154  -0.0114263  -0.00147932  -0.00073962  -0.00238275  3.73383e-06  0.000291388  1.18613e-05  -7.40237e-06  1.14972e-05  3.29841e-07  2.75685e-07  1.65867e-06
0.222622  9.86006  0.00510438  0.00363297  -0.023674  -0.00264365  -0.00154747  -0.00529416  3.36241e-05  0.000763231  8.05582e-05  3.96656e-05  5.1996e-05  -1.06767e-05  -3.12949e-05  2.02626e-05
0.342222  6.37144  0.00637629  0.00480128  -0.0418274  -0.00482907  -0.0032127  -0.0110352  -0.00012103  0.00137712  0.000163297  0.00012139  2.62661e-05  -2.12192e-05  -3.88319e-05  5.7725e-05
0.4884  3.50315  0.00657704  0.00524484  -0.0624199  -0.00727616  -0.00639416  -0.021116  -0.000553619  0.00282981  0.000203892  -5.71823e-05  8.11612e-05  -3.48823e-05  4.84268e-05  9.88377e-06
0.661156  1.71183  0.00511464  0.00430283  -0.0812359  -0.00862922  -0.0104062  -0.0337923  -0.00138156  0.0052805  0.00012698  -0.000815893  0.000704079  -5.74222e-05  -6.44927e-05  9.39668e-05
0.860489  0.753437  0.00137079  0.00121749  -0.0961048  -0.00813473  -0.014338  -0.0467222  -0.00284734  0.00808715  -0.000230724  -0.00246789  0.00247587  -9.89264e-05  -0.000970005  0.00065133
1.0864  0.300999  -0.00490262  -0.00442279  -0.106135  -0.00553373  -0.0176204  -0.0580215  -0.00518121  0.0103925  -0.00121291  -0.00529635  0.00596384  -8.37701e-05  -0.0032804  0.00187129
1.33889  0.109935  -0.0132491  -0.0123404  -0.110832  -0.00101634  -0.0198803  -0.066019  -0.00837996  0.0113587  -0.00322474  -0.00943253  0.0117608  9.85592e-05  -0.00785394  0.00371342
1.61796  0.0367592  -0.0231838  -0.0224119  -0.110437  0.00508451  -0.0209958  -0.0688843  -0.0123196  0.00976277  -0.00709585  -0.0149214  0.0208502  0.000712188  -0.015734  0.00589907
1.9236  0.0111077  -0.0334278  -0.0336546  -0.105887  0.0118533  -0.0210183  -0.065437  -0.0165402  0.00465716  -0.0135779  -0.0214739  0.0343212  0.00204298  -0.0282916  0.00786845
2.25582  0.0030646  -0.0425429  -0.0457346  -0.0977049  0.0179078  -0.0200295  -0.0511913  -0.0202224  -0.0074443  -0.0254108  -0.0288289  0.0555859  0.0048249  -0.0487215  0.00826182
2.61462  0.000739486  -0.0470258  -0.0565729  -0.0882984  0.0200441  -0.0185798  -0.0213664  -0.0215297  -0.0307703  -0.0464498  -0.0358432  0.0897132  0.0102133  -0.0819759  0.00484051
3  0.000144628  -0.0463334  -0.0665508  -0.076226  0.0175792  -0.0180123  0.0310611  -0.0189763  -0.0700332  -0.0808424  -0.0442355  0.141597  0.0219481  -0.131866  -0.00560991
