#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  1.36211  0.000406838  0.000294732  -3.84572e-05  -9.5061e-06  1.73187e-06  1.99646e-06  1.09417e-07  2.21789e-06  3.0819e-08  1.5353e-06  -3.85768e-08  2.73972e-06  -8.28743e-08  -5.37438e-06
0.0232889  1.36043  0.00095276  0.000686695  -0.000261574  -5.05735e-05  1.61941e-06  1.22827e-06  -4.04582e-08  -2.12728e-06  8.85022e-10  -6.24458e-07  6.8123e-08  1.86092e-06  -2.25862e-07  -1.59765e-06
0.0631556  1.34826  0.00256749  0.00186314  -0.00200535  -0.000391535  -3.845e-05  -0.000109393  2.38346e-07  1.63195e-06  9.47792e-09  -3.84093e-07  7.21205e-08  -2.49188e-07  -3.9532e-07  -5.22061e-06
0.1296  1.30398  0.00505569  0.00370703  -0.00798427  -0.00153688  -0.000295016  -0.000852789  -1.56989e-06  3.47593e-05  1.34369e-07  -2.14075e-06  1.82181e-07  -9.13714e-07  -4.96251e-07  -1.53162e-06
0.222622  1.19493  0.00785568  0.00590659  -0.0207522  -0.0038611  -0.00125285  -0.00363628  -1.33811e-05  0.000260855  2.6968e-06  -1.29944e-05  7.00325e-06  1.25216e-06  -2.96069e-06  5.63716e-06
0.342222  0.996048  0.0100239  0.00781907  -0.0397507  -0.00697784  -0.00344549  -0.0101369  -8.33767e-05  0.00104157  2.01584e-05  -8.75143e-05  5.82818e-05  -2.71153e-06  -1.63849e-05  1.7085e-05
0.4884  0.727455  0.0106779  0.00870452  -0.0609085  -0.00970155  -0.00681204  -0.0204097  -0.000343647  0.00271171  4.91406e-05  -0.000371277  0.000312818  -2.50998e-05  -0.000111489  9.16984e-05
0.661156  0.457039  0.00928514  0.00789879  -0.0803784  -0.0110696  -0.0107521  -0.0329659  -0.00098837  0.00519832  3.25602e-05  -0.00108517  0.00104403  -6.3073e-05  -0.00046813  0.000352423
0.860489  0.247945  0.0055905  0.00495153  -0.096069  -0.0106306  -0.0146005  -0.0459059  -0.00223196  0.00801588  -0.000183948  -0.00249887  0.00264966  -0.000110289  -0.00139894  0.000960427
1.0864  0.117548  -0.000590139  -0.000448754  -0.107077  -0.00816728  -0.0179114  -0.0577775  -0.00430672  0.0105823  -0.000857021  -0.00496133  0.00563765  -0.000143405  -0.00342095  0.00211221
1.33889  0.0494039  -0.00915283  -0.0083565  -0.112752  -0.00362057  -0.0203056  -0.0669692  -0.00735914  0.0121141  -0.00239712  -0.00877643  0.0106391  -6.02196e-05  -0.0072946  0.00390904
1.61796  0.0185017  -0.0196535  -0.0185739  -0.11307  0.00282107  -0.0215547  -0.0718146  -0.0113489  0.0116606  -0.00541532  -0.0140718  0.0185429  0.000349827  -0.0141227  0.00624332
1.9236  0.00620194  -0.031156  -0.0306585  -0.10836  0.0105013  -0.0215574  -0.0699587  -0.0159403  0.00754159  -0.0111421  -0.0208118  0.0310718  0.0014594  -0.025825  0.00852332
2.25582  0.00185363  -0.0417001  -0.0435609  -0.0997502  0.0177604  -0.0204637  -0.0578917  -0.0202209  -0.00305225  -0.0218349  -0.0285347  0.0511598  0.00395605  -0.0453487  0.0094702
2.61462  0.000486645  -0.0481564  -0.0556097  -0.0892307  0.0216616  -0.0187375  -0.0302955  -0.0224252  -0.0245772  -0.0413119  -0.0361121  0.0834622  0.00898039  -0.0770491  0.00683361
3  0.000106084  -0.0465737  -0.0651013  -0.0784632  0.0182066  -0.0175409  0.0221121  -0.0196391  -0.0644037  -0.0762253  -0.0428923  0.135974  0.0193745  -0.127845  -0.00350226
