#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  0.00123072  0.000266281  0.000224111  -2.18251e-05  -6.07358e-06  3.81092e-07  3.20777e-07  3.76518e-08  4.11952e-07  -2.13064e-08  4.06565e-07  5.83703e-09  6.24751e-07  -3.32829e-08  -1.41601e-06
0.0232889  0.0028644  0.000620658  0.000522112  -0.00013097  -3.1965e-05  -4.00126e-07  -1.66594e-06  -5.92914e-08  -1.00244e-06  1.25189e-08  -4.92826e-07  -9.83502e-09  4.96308e-07  -4.73207e-08  3.1447e-07
0.0631556  0.00772844  0.00168659  0.00142015  -0.000977244  -0.000240124  -1.50294e-05  -3.76185e-05  3.56792e-07  5.31056e-07  2.66108e-08  -7.86518e-07  -4.97637e-08  -1.90293e-06  -1.31842e-07  -1.64252e-06
0.1296  0.0155585  0.00348996  0.00294087  -0.00406849  -0.000990434  -0.000127885  -0.000314429  3.27794e-06  1.24357e-05  1.18795e-07  1.40803e-06  -2.2147e-08  1.50788e-06  -5.61924e-08  1.23341e-06
0.222622  0.0254479  0.00607705  0.00512608  -0.0114907  -0.00276033  -0.00060094  -0.00150153  2.38244e-05  8.7923e-05  2.09412e-06  -3.07925e-07  1.48344e-06  -3.16589e-07  -1.74033e-07  6.41979e-08
0.342222  0.035355  0.00939284  0.00794801  -0.0250042  -0.005823  -0.00192346  -0.00488937  9.85603e-05  0.000424265  1.1696e-05  -2.57189e-06  1.47175e-05  2.25744e-07  -6.6389e-07  5.43347e-06
0.4884  0.0420992  0.0128693  0.0109504  -0.0444888  -0.00981403  -0.00456201  -0.0119472  0.00024163  0.00137765  4.21911e-05  -5.23369e-05  8.59009e-05  -1.16218e-05  -2.55598e-05  3.72563e-05
0.661156  0.0425579  0.0151189  0.0129874  -0.0672723  -0.0135524  -0.00853101  -0.0232501  0.000289487  0.0033146  0.000103155  -0.000309992  0.000387024  -4.37982e-05  -0.000168971  0.000212078
0.860489  0.0361098  0.014466  0.0126155  -0.088973  -0.0155285  -0.0131736  -0.0376106  -0.000170313  0.0062109  0.000139446  -0.00114168  0.00125974  -0.000118933  -0.000671513  0.000750471
1.0864  0.0255504  0.0098101  0.00877167  -0.105939  -0.0146273  -0.0176049  -0.0528421  -0.00166093  0.00958503  -4.48156e-05  -0.00310538  0.00324581  -0.000245576  -0.00204285  0.00193615
1.33889  0.015131  0.00108892  0.00118515  -0.115831  -0.0103986  -0.0209692  -0.0660967  -0.00452521  0.0125257  -0.000828418  -0.00664212  0.00704883  -0.000322311  -0.0050962  0.00397085
1.61796  0.0075628  -0.0109046  -0.00977122  -0.11832  -0.00315319  -0.0228219  -0.0749593  -0.00877529  0.0138295  -0.00284326  -0.011994  0.0136356  -0.000180019  -0.0109937  0.00671895
1.9236  0.00320742  -0.0245882  -0.0230358  -0.114339  0.00607272  -0.0230791  -0.0774139  -0.0139896  0.0121611  -0.00690536  -0.018973  0.0240884  0.000460544  -0.0209962  0.0096656
2.25582  0.00116393  -0.0382355  -0.0375834  -0.105226  0.0159056  -0.0218798  -0.070815  -0.019467  0.00536453  -0.0146834  -0.027208  0.0406265  0.00218701  -0.0374222  0.0118512
2.61462  0.000353856  -0.049008  -0.0517559  -0.0931317  0.0237605  -0.0196771  -0.0511166  -0.023737  -0.0101662  -0.0292261  -0.0358217  0.0671279  0.00594883  -0.0640323  0.011421
3  8.71986e-05  -0.0525087  -0.0639368  -0.0802088  0.0251879  -0.0171383  -0.00767703  -0.023938  -0.0432525  -0.0581566  -0.0433733  0.113195  0.0139121  -0.10958  0.00438442
