#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  0.000822988  0.000253523  0.000200831  -2.41875e-05  -5.93005e-06  -6.39701e-08  -1.40606e-07  -1.00551e-09  3.09463e-09  -2.30085e-09  -1.34103e-08  -3.07958e-09  -4.60008e-09  -1.04239e-08  -1.36622e-09
0.0232889  0.0019155  0.000590672  0.000467989  -0.000131098  -3.21109e-05  -7.29882e-07  -1.82596e-06  5.26672e-09  1.62093e-08  -3.25501e-09  -9.20657e-09  -3.35798e-09  -2.18177e-10  1.52168e-09  3.68517e-10
0.0631556  0.00517031  0.00160688  0.0012748  -0.000959749  -0.000234683  -1.46015e-05  -3.61925e-05  1.865e-07  6.25118e-07  7.87952e-09  7.87952e-09  -4.57521e-09  -1.12001e-09  3.57145e-09  -6.5843e-10
0.1296  0.0104268  0.00333227  0.00265568  -0.00397487  -0.000966119  -0.000122938  -0.000305741  3.22849e-06  1.07834e-05  1.56466e-07  3.37708e-08  5.06219e-08  -8.01531e-09  -4.33034e-09  4.72543e-09
0.222622  0.0171255  0.00583456  0.0046963  -0.011252  -0.00269374  -0.000583749  -0.00146601  2.45263e-05  8.7004e-05  2.09718e-06  2.26688e-07  1.12238e-06  -1.8688e-07  -1.24403e-07  2.24546e-07
0.342222  0.0239764  0.00908837  0.00742767  -0.0245168  -0.00569268  -0.00186957  -0.00478247  0.000103759  0.000418841  1.44311e-05  -1.90167e-06  1.2724e-05  -2.04783e-06  -2.18992e-06  3.86903e-06
0.4884  0.0288811  0.0125826  0.0104706  -0.0437131  -0.00962143  -0.00443813  -0.0116851  0.000261343  0.00136732  5.90031e-05  -3.59001e-05  8.41718e-05  -1.24945e-05  -2.10282e-05  3.41982e-05
0.661156  0.0296673  0.0150204  0.0127362  -0.0662498  -0.0133776  -0.0083053  -0.0227281  0.000356633  0.0032834  0.000152867  -0.00023937  0.000369778  -4.86924e-05  -0.000126947  0.00018324
0.860489  0.0256565  0.0147392  0.0127505  -0.0879981  -0.0155213  -0.0128846  -0.0369151  -7.52611e-06  0.00618123  0.000247062  -0.000960762  0.00119084  -0.00013211  -0.000536151  0.000663844
1.0864  0.0185513  0.0105794  0.00938757  -0.105225  -0.0149164  -0.0172922  -0.0520731  -0.00134942  0.00959792  0.000158585  -0.00273638  0.00305088  -0.000264186  -0.00172014  0.00177267
1.33889  0.0112383  0.0023336  0.00225975  -0.115751  -0.0110658  -0.0207453  -0.0656771  -0.00405195  0.0126956  -0.000470484  -0.00609236  0.00664026  -0.000386633  -0.00447978  0.00373295
1.61796  0.00575193  -0.00935509  -0.0083567  -0.11895  -0.00412039  -0.0227476  -0.0752905  -0.00819315  0.0143429  -0.00223351  -0.0113239  0.0129094  -0.000329465  -0.00998336  0.00649785
1.9236  0.00251322  -0.0232014  -0.021708  -0.115299  0.00515858  -0.0231037  -0.0784463  -0.0134712  0.0129845  -0.00613032  -0.0183812  0.0232729  0.000255173  -0.0198611  0.00958085
2.25582  0.0009459  -0.0372869  -0.0366466  -0.106075  0.015276  -0.0219111  -0.0720879  -0.0191051  0.00623465  -0.0139507  -0.0268263  0.0400401  0.00198339  -0.0365163  0.011885
2.61462  0.000308256  -0.0487066  -0.0515485  -0.0933184  0.0235797  -0.0196097  -0.0514574  -0.0235723  -0.00996722  -0.0290607  -0.0357368  0.0673288  0.005906  -0.0639239  0.011394
3  8.69214e-05  -0.0525087  -0.0639368  -0.0802088  0.0251879  -0.0171383  -0.00767703  -0.023938  -0.0432525  -0.0581566  -0.0433733  0.113195  0.0139121  -0.10958  0.00438442
