#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  1.53798  0.000344446  0.000211269  -9.1727e-05  -2.52566e-05  1.41486e-05  3.51001e-05  -3.78446e-06  7.4399e-06  -6.61705e-07  -1.93002e-06  -1.28911e-05  1.15711e-05  -2.90102e-06  -1.55957e-05
0.0232889  3.52005  0.000788101  0.000485684  -0.000638491  -0.000108811  -3.30307e-06  -1.63078e-05  4.35065e-08  -1.2879e-06  1.16912e-06  3.1932e-06  5.49296e-06  -5.69912e-07  -9.29832e-06  -9.18262e-07
0.0631556  8.3751  0.00187765  0.00116502  -0.00378602  -0.000609784  -0.000172756  -0.000547446  -3.49074e-06  4.05156e-05  2.03551e-06  -5.34963e-06  1.72495e-06  -7.38609e-07  -1.90398e-07  -8.33503e-07
0.1296  11.518  0.00330283  0.00217505  -0.0109814  -0.00140561  -0.000703786  -0.00226744  8.60067e-06  0.00029099  1.27735e-05  -9.20218e-06  1.42753e-05  5.65432e-07  -2.19143e-06  1.69222e-06
0.222622  9.90175  0.00510572  0.0036476  -0.0233791  -0.00259864  -0.00147896  -0.00508922  4.0422e-05  0.000730569  8.19765e-05  4.71088e-05  5.13298e-05  -1.08265e-05  -3.64357e-05  2.43496e-05
0.342222  6.41174  0.00640398  0.00483555  -0.0419122  -0.00485913  -0.00320476  -0.0109902  -0.00011607  0.00134855  0.000165206  0.000134274  8.35345e-06  -2.09683e-05  -2.72493e-05  5.12424e-05
0.4884  3.5211  0.0065665  0.00524065  -0.062647  -0.00730372  -0.00644365  -0.021245  -0.000557756  0.00284174  0.00020185  -6.03671e-05  7.359e-05  -3.46048e-05  6.1559e-05  1.47122e-06
0.661156  1.71683  0.00504545  0.00424169  -0.081364  -0.008606  -0.0104483  -0.0339195  -0.00140426  0.00529984  0.000117302  -0.000844205  0.000725125  -5.73183e-05  -7.49833e-05  0.000103307
0.860489  0.754222  0.00130582  0.00115612  -0.0961262  -0.00809766  -0.0143525  -0.046767  -0.00287179  0.00808651  -0.000248078  -0.00250107  0.00251627  -9.68747e-05  -0.00100635  0.000665274
1.0864  0.300995  -0.00492761  -0.00444886  -0.106127  -0.00551724  -0.0176216  -0.0580176  -0.00519137  0.0103821  -0.00122683  -0.00531172  0.00599169  -8.07905e-05  -0.00330807  0.00187619
1.33889  0.109894  -0.0132491  -0.0123404  -0.110832  -0.00101634  -0.0198803  -0.066019  -0.00837996  0.0113587  -0.00322474  -0.00943253  0.0117608  9.85592e-05  -0.00785394  0.00371342
1.61796  0.0367498  -0.0231838  -0.0224119  -0.110437  0.00508451  -0.0209958  -0.0688843  -0.0123196  0.00976277  -0.00709585  -0.0149214  0.0208502  0.000712188  -0.015734  0.00589907
1.9236  0.0111057  -0.0334278  -0.0336546  -0.105887  0.0118533  -0.0210183  -0.065437  -0.0165402  0.00465716  -0.0135779  -0.0214739  0.0343212  0.00204298  -0.0282916  0.00786845
2.25582  0.00306419  -0.0425429  -0.0457346  -0.0977049  0.0179078  -0.0200295  -0.0511913  -0.0202224  -0.0074443  -0.0254108  -0.0288289  0.0555859  0.0048249  -0.0487215  0.00826182
2.61462  0.000739413  -0.0470258  -0.0565729  -0.0882984  0.0200441  -0.0185798  -0.0213664  -0.0215297  -0.0307703  -0.0464498  -0.0358432  0.0897132  0.0102133  -0.0819759  0.00484051
3  0.000144617  -0.0463334  -0.0665508  -0.076226  0.0175792  -0.0180123  0.0310611  -0.0189763  -0.0700332  -0.0808424  -0.0442355  0.141597  0.0219481  -0.131866  -0.00560991
