#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  0.675458  0.000751983  0.000477595  -0.000237255  -3.27265e-05  -1.29592e-06  -4.19641e-06  7.3198e-09  3.64511e-08  4.77292e-09  4.77292e-09  -2.01966e-10  -2.08522e-09  -3.0867e-09  1.33368e-09
0.0232889  1.54922  0.00172555  0.00109718  -0.00126209  -0.000173706  -1.6002e-05  -5.16354e-05  1.75545e-07  1.09514e-06  1.51793e-08  3.26813e-08  2.89328e-09  2.28562e-09  -1.19664e-09  -1.43588e-09
0.0631556  3.75384  0.00421505  0.00269969  -0.0080988  -0.00109712  -0.000263294  -0.000856479  6.62854e-06  4.61768e-05  2.07542e-06  3.28305e-06  -9.98207e-08  -7.1029e-08  4.11195e-08  7.40377e-09
0.1296  5.45836  0.00653148  0.00424718  -0.0237379  -0.00309379  -0.00135632  -0.00450197  3.40741e-05  0.000421722  3.21681e-05  4.18426e-05  -1.45684e-06  -1.96465e-06  1.73783e-06  6.9281e-07
0.222622  5.10512  0.00747483  0.00499564  -0.0418867  -0.00523791  -0.00330027  -0.0111662  -9.69194e-06  0.00138979  0.000127414  0.000114532  7.16053e-06  -1.13127e-05  7.82595e-06  7.78183e-06
0.342222  3.56026  0.0074372  0.0052669  -0.058402  -0.00705112  -0.00573378  -0.0194773  -0.000265613  0.00285824  0.00024984  7.60861e-05  9.49564e-05  -3.01036e-05  -1.90346e-06  3.5353e-05
0.4884  2.05929  0.00672696  0.00517449  -0.0733918  -0.00838671  -0.00858772  -0.028985  -0.000784173  0.0048042  0.000344722  -0.000250512  0.000419339  -6.06468e-05  -9.38723e-05  0.000118538
0.661156  1.04291  0.00499893  0.00417218  -0.0871083  -0.00893414  -0.0117404  -0.0394051  -0.00163123  0.00714775  0.000338083  -0.00105016  0.00125791  -0.000109  -0.000426983  0.000354081
0.860489  0.474752  0.00157182  0.00144789  -0.0988778  -0.00825142  -0.0149156  -0.0501025  -0.00298697  0.00959055  6.76316e-05  -0.00256758  0.00302008  -0.00016624  -0.00132996  0.000922861
1.0864  0.196663  -0.00408144  -0.00359826  -0.1075  -0.00590347  -0.0177481  -0.0599833  -0.00509273  0.0116233  -0.000755763  -0.00512518  0.00625118  -0.000181644  -0.0033829  0.00202996
1.33889  0.0745006  -0.0120411  -0.011165  -0.111919  -0.00166389  -0.0198665  -0.0675008  -0.00810375  0.0124968  -0.00259278  -0.00902939  0.0116883  -3.76007e-05  -0.0074884  0.00376449
1.61796  0.0258308  -0.0218461  -0.0210564  -0.111633  0.00429668  -0.0209837  -0.0706824  -0.0119543  0.0111018  -0.00618923  -0.0144196  0.0204071  0.000492225  -0.0149466  0.00593481
1.9236  0.00818335  -0.0324175  -0.0326949  -0.106826  0.0112263  -0.0209788  -0.0669812  -0.0162349  0.00572087  -0.0128153  -0.0211467  0.034104  0.00181506  -0.0276211  0.00789923
2.25582  0.00235982  -0.0418378  -0.0450551  -0.0984451  0.0174904  -0.0199762  -0.0527281  -0.0200041  -0.00647921  -0.0247495  -0.0286706  0.055652  0.00463986  -0.0483757  0.00833918
2.61462  0.000615256  -0.0467681  -0.0564503  -0.0884115  0.0199317  -0.0184614  -0.0217836  -0.0213934  -0.0305525  -0.0463093  -0.0358769  0.0903104  0.0102153  -0.0821465  0.00481016
3  0.000144262  -0.046312  -0.0665678  -0.0762034  0.0175545  -0.01801  0.0312193  -0.0189587  -0.0701485  -0.0809412  -0.0442461  0.141743  0.0219801  -0.131991  -0.00564746
