#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  0.782211  0.000401957  0.00025066  -5.21021e-05  -1.00789e-05  -1.48345e-07  -4.21274e-07  -9.35506e-09  9.11893e-09  -2.25996e-09  -5.45603e-09  1.05924e-09  2.86196e-09  3.10597e-09  -8.0912e-10
0.0232889  0.781684  0.000934713  0.000583459  -0.000281988  -5.44986e-05  -1.83467e-06  -5.40791e-06  -2.35411e-09  4.66177e-08  5.45971e-09  9.36738e-10  -5.41555e-09  7.28845e-09  -3.62198e-10  1.08699e-08
0.0631556  0.777523  0.0025057  0.00157591  -0.00203967  -0.000393144  -3.59429e-05  -0.000105701  2.60126e-09  2.36827e-06  1.64668e-08  -5.48892e-09  8.68789e-09  7.38998e-10  -4.35113e-09  1.46084e-10
0.1296  0.761292  0.00493418  0.00318424  -0.00809903  -0.0015449  -0.000288538  -0.000849948  -3.11055e-08  3.85043e-05  6.9544e-07  -3.01993e-07  2.27733e-07  -3.77343e-08  -5.36399e-09  1.52812e-08
0.222622  0.716449  0.00770103  0.00524198  -0.020922  -0.00388882  -0.00123509  -0.00365412  -3.55686e-06  0.000274728  8.05463e-06  -4.95579e-06  4.80356e-06  -6.89407e-07  -4.83449e-07  6.76283e-07
0.342222  0.622153  0.00999369  0.0073259  -0.0397063  -0.00701649  -0.00337294  -0.0100701  -3.92183e-05  0.00109109  4.40312e-05  -4.28689e-05  4.50365e-05  -6.05139e-06  -7.39761e-06  9.20723e-06
0.4884  0.476688  0.0110135  0.00870338  -0.0606652  -0.00985501  -0.00667087  -0.0202242  -0.000209119  0.00283027  0.000132145  -0.000220495  0.000238688  -2.83371e-05  -5.83216e-05  6.40703e-05
0.661156  0.314193  0.0101143  0.0085078  -0.0802056  -0.0114478  -0.0105756  -0.0327583  -0.000718999  0.0054318  0.000231255  -0.000767016  0.000846656  -8.29983e-05  -0.000285563  0.000276562
0.860489  0.178007  0.00679227  0.00602179  -0.0962082  -0.0112354  -0.014453  -0.045935  -0.00184909  0.00843904  0.000176718  -0.00202443  0.00227785  -0.000167963  -0.000999628  0.000844959
1.0864  0.0876984  0.000775685  0.00084696  -0.107491  -0.00890838  -0.0178017  -0.0581252  -0.00387068  0.011196  -0.000329521  -0.00438923  0.00507695  -0.000240084  -0.00276485  0.00199233
1.33889  0.038057  -0.00785126  -0.00707639  -0.113406  -0.00436804  -0.0202466  -0.0676879  -0.00693918  0.0128972  -0.00173906  -0.00820182  0.00996511  -0.000191523  -0.00646001  0.00383234
1.61796  0.0146867  -0.0185591  -0.0174902  -0.113799  0.00216029  -0.0215304  -0.0727564  -0.0109931  0.0124618  -0.00475499  -0.0136151  0.0179737  0.000190997  -0.0133443  0.00620594
1.9236  0.00506836  -0.0302676  -0.0297989  -0.109075  0.00993703  -0.0215531  -0.0709683  -0.0156451  0.00826414  -0.0105618  -0.0204923  0.030709  0.00129704  -0.0252079  0.00851457
2.25582  0.00156671  -0.0411242  -0.0429885  -0.100293  0.0174046  -0.020443  -0.0589164  -0.0200063  -0.00236491  -0.0212861  -0.0283199  0.050872  0.00380602  -0.0447743  0.00950675
2.61462  0.000432693  -0.0479698  -0.0554307  -0.0893841  0.0215902  -0.0186703  -0.0309077  -0.0223205  -0.0241621  -0.0409546  -0.0360431  0.0833777  0.00890462  -0.0766894  0.00686901
3  0.000106084  -0.0465737  -0.0651013  -0.0784632  0.0182066  -0.0175409  0.0221121  -0.0196391  -0.0644037  -0.0762253  -0.0428923  0.135974  0.0193745  -0.127845  -0.00350226
