#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  1.57196  0.000363624  0.000227424  -9.95546e-05  -2.57868e-05  1.36731e-05  3.4165e-05  -3.7168e-06  7.03768e-06  -6.38814e-07  -2.09867e-06  -1.26698e-05  1.11951e-05  -2.59746e-06  -1.49024e-05
0.0232889  3.59403  0.000832665  0.000522809  -0.000664125  -0.000110122  -3.17988e-06  -1.6099e-05  -4.42573e-08  -1.363e-06  1.00844e-06  2.6906e-06  5.36846e-06  -5.19024e-07  -8.88789e-06  -1.27785e-06
0.0631556  8.4966  0.00197111  0.00123947  -0.00397173  -0.000628727  -0.000174539  -0.000556235  -3.78373e-06  3.76747e-05  1.42713e-06  -5.55098e-06  1.79599e-06  -4.70775e-09  3.4613e-07  -7.1019e-07
0.1296  11.5552  0.00336917  0.0022211  -0.0114262  -0.00147933  -0.000739639  -0.00238275  3.69418e-06  0.000291417  1.18569e-05  -7.37652e-06  1.15e-05  3.85235e-07  3.03979e-07  1.65652e-06
0.222622  9.86005  0.00510467  0.00363234  -0.0236738  -0.00264362  -0.00154743  -0.00529412  3.36854e-05  0.000763286  8.0571e-05  3.96567e-05  5.20406e-05  -1.06582e-05  -3.13122e-05  2.02241e-05
0.342222  6.37143  0.00637666  0.00480056  -0.0418271  -0.00482891  -0.0032127  -0.0110351  -0.000121008  0.00137711  0.000163282  0.000121391  2.62645e-05  -2.12194e-05  -3.88542e-05  5.77438e-05
0.4884  3.50314  0.00657746  0.00524408  -0.0624196  -0.00727595  -0.00639413  -0.0211159  -0.000553612  0.0028298  0.000203903  -5.71657e-05  8.11728e-05  -3.48807e-05  4.8443e-05  9.87838e-06
0.661156  1.71183  0.0051151  0.00430202  -0.0812355  -0.00862892  -0.0104061  -0.0337921  -0.0013815  0.00528052  0.00012694  -0.000815903  0.000704021  -5.74854e-05  -6.45053e-05  9.39644e-05
0.860489  0.753436  0.00137121  0.00121676  -0.0961043  -0.00813442  -0.0143379  -0.046722  -0.00284731  0.00808721  -0.000230746  -0.0024679  0.0024759  -9.89634e-05  -0.00097  0.000651356
1.0864  0.300998  -0.00490223  -0.00442349  -0.106134  -0.00553338  -0.0176202  -0.0580212  -0.00518117  0.0103926  -0.00121295  -0.00529638  0.00596392  -8.39086e-05  -0.00328036  0.00187136
1.33889  0.109934  -0.0132487  -0.0123412  -0.110831  -0.00101598  -0.0198802  -0.0660188  -0.00837984  0.0113589  -0.00322484  -0.00943256  0.0117609  9.82687e-05  -0.00785389  0.00371361
1.61796  0.0367592  -0.0231836  -0.0224126  -0.110437  0.00508493  -0.0209957  -0.0688841  -0.0123195  0.00976299  -0.007096  -0.0149214  0.0208505  0.000711811  -0.0157339  0.00589937
1.9236  0.0111077  -0.0334275  -0.0336553  -0.105887  0.0118538  -0.0210182  -0.0654369  -0.0165401  0.00465743  -0.0135782  -0.0214738  0.0343216  0.00204235  -0.0282915  0.00786889
2.25582  0.00306459  -0.0425428  -0.0457353  -0.0977043  0.0179082  -0.0200294  -0.0511913  -0.0202225  -0.00744385  -0.025411  -0.0288288  0.0555864  0.00482407  -0.0487214  0.00826252
2.61462  0.000739485  -0.0470258  -0.0565737  -0.0882979  0.0200444  -0.0185797  -0.0213664  -0.0215297  -0.0307697  -0.0464501  -0.0358429  0.0897138  0.0102122  -0.0819757  0.00484154
3  0.000144628  -0.0463333  -0.0665516  -0.0762256  0.0175794  -0.0180123  0.031061  -0.0189763  -0.0700323  -0.080843  -0.0442352  0.141597  0.0219466  -0.131866  -0.0056086
