#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  1.59984  0.000344455  0.00021126  -9.17255e-05  -2.5246e-05  1.41687e-05  3.51124e-05  -3.77127e-06  7.43562e-06  -6.65164e-07  -1.92167e-06  -1.28805e-05  1.15919e-05  -2.88612e-06  -1.55921e-05
0.0232889  3.65797  0.000788129  0.000485579  -0.000638482  -0.000108835  -3.27673e-06  -1.63165e-05  6.27188e-08  -1.27394e-06  1.14538e-06  3.23374e-06  5.48488e-06  -5.81963e-07  -9.30555e-06  -9.47806e-07
0.0631556  8.64834  0.00187781  0.00116477  -0.00378601  -0.000609795  -0.000172782  -0.000547433  -3.47827e-06  4.04919e-05  2.03551e-06  -5.34964e-06  1.75485e-06  -7.27544e-07  -1.99921e-07  -8.19086e-07
0.1296  11.7499  0.00330307  0.00217464  -0.0109813  -0.0014056  -0.000703806  -0.00226743  8.57942e-06  0.000290971  1.27884e-05  -9.2022e-06  1.4273e-05  5.44396e-07  -2.17854e-06  1.69924e-06
0.222622  10.0025  0.00510604  0.00364703  -0.023379  -0.00259854  -0.00147891  -0.00508925  4.03898e-05  0.000730511  8.19399e-05  4.7167e-05  5.13337e-05  -1.08346e-05  -3.63255e-05  2.43516e-05
0.342222  6.44405  0.00640435  0.00483483  -0.0419119  -0.00485898  -0.00320477  -0.0109902  -0.000116062  0.00134853  0.000165201  0.000134277  8.36738e-06  -2.09848e-05  -2.72534e-05  5.12535e-05
0.4884  3.5304  0.00656693  0.00523986  -0.0626466  -0.00730352  -0.00644363  -0.0212449  -0.000557713  0.00284177  0.000201864  -6.03644e-05  7.35848e-05  -3.45967e-05  6.15595e-05  1.47153e-06
0.661156  1.71938  0.00504588  0.00424087  -0.0813636  -0.00860569  -0.0104483  -0.0339192  -0.00140417  0.00529981  0.000117252  -0.000844202  0.000725133  -5.73434e-05  -7.50483e-05  0.000103332
0.860489  0.754893  0.00130625  0.00115538  -0.0961257  -0.00809734  -0.0143525  -0.0467668  -0.00287176  0.00808657  -0.000248104  -0.00250108  0.00251631  -9.69283e-05  -0.00100633  0.000665297
1.0864  0.301164  -0.00492725  -0.00444953  -0.106127  -0.00551689  -0.0176215  -0.0580173  -0.00519133  0.0103822  -0.00122684  -0.00531174  0.00599176  -8.09523e-05  -0.00330806  0.00187628
1.33889  0.109934  -0.0132487  -0.0123412  -0.110831  -0.00101598  -0.0198802  -0.0660188  -0.00837984  0.0113589  -0.00322484  -0.00943256  0.0117609  9.82687e-05  -0.00785389  0.00371361
1.61796  0.0367592  -0.0231836  -0.0224126  -0.110437  0.00508493  -0.0209957  -0.0688841  -0.0123195  0.00976299  -0.007096  -0.0149214  0.0208505  0.000711811  -0.0157339  0.00589937
1.9236  0.0111077  -0.0334275  -0.0336553  -0.105887  0.0118538  -0.0210182  -0.0654369  -0.0165401  0.00465743  -0.0135782  -0.0214738  0.0343216  0.00204235  -0.0282915  0.00786889
2.25582  0.00306459  -0.0425428  -0.0457353  -0.0977043  0.0179082  -0.0200294  -0.0511913  -0.0202225  -0.00744385  -0.025411  -0.0288288  0.0555864  0.00482407  -0.0487214  0.00826252
2.61462  0.000739485  -0.0470258  -0.0565737  -0.0882979  0.0200444  -0.0185797  -0.0213664  -0.0215297  -0.0307697  -0.0464501  -0.0358429  0.0897138  0.0102122  -0.0819757  0.00484154
3  0.000144628  -0.0463333  -0.0665516  -0.0762256  0.0175794  -0.0180123  0.031061  -0.0189763  -0.0700323  -0.080843  -0.0442352  0.141597  0.0219466  -0.131866  -0.0056086
