#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  0.110427  0.000266301  0.000224047  -2.17606e-05  -6.01412e-06  3.47478e-07  3.03848e-07  -3.39589e-08  3.47358e-07  -2.13064e-08  4.8386e-07  1.93655e-09  6.43187e-07  1.19617e-08  -1.4047e-06
0.0232889  0.110388  0.000620681  0.000522074  -0.000131057  -3.20458e-05  -3.6757e-07  -1.68599e-06  -2.69726e-08  -1.01575e-06  8.32084e-08  -5.31488e-07  -4.13967e-09  5.18271e-07  -2.15931e-08  2.36953e-07
0.0631556  0.110066  0.00168661  0.00141998  -0.000977131  -0.000240099  -1.50459e-05  -3.76354e-05  3.52454e-07  5.17705e-07  4.26718e-08  -7.47743e-07  -5.6358e-08  -1.89269e-06  -1.26936e-07  -1.71658e-06
0.1296  0.108834  0.00349002  0.00294069  -0.00406847  -0.000990457  -0.000127844  -0.000314408  3.32053e-06  1.24897e-05  1.35038e-07  1.42427e-06  -2.98182e-08  1.53085e-06  -3.82048e-09  1.20495e-06
0.222622  0.105685  0.00607714  0.00512581  -0.0114907  -0.00276029  -0.00060092  -0.00150151  2.38199e-05  8.79648e-05  2.12757e-06  -3.41379e-07  1.4345e-06  -3.38961e-07  -1.41839e-07  3.36251e-08
0.342222  0.0992337  0.009393  0.00794755  -0.025004  -0.00582292  -0.00192343  -0.00488929  9.85475e-05  0.00042423  1.17009e-05  -2.56507e-06  1.47124e-05  2.20112e-07  -6.49057e-07  5.41637e-06
0.4884  0.088095  0.0128695  0.0109498  -0.0444885  -0.00981395  -0.00456195  -0.0119471  0.000241652  0.00137766  4.21911e-05  -5.23409e-05  8.59052e-05  -1.16289e-05  -2.55551e-05  3.72547e-05
0.661156  0.0717824  0.0151192  0.0129867  -0.067272  -0.0135522  -0.00853092  -0.0232498  0.00028949  0.00331462  0.000103169  -0.000310009  0.000387036  -4.38299e-05  -0.000168971  0.000212103
0.860489  0.052202  0.0144664  0.0126149  -0.0889726  -0.0155283  -0.0131734  -0.0376103  -0.000170278  0.00621096  0.000139459  -0.00114172  0.00125979  -0.000119  -0.000671493  0.000750507
1.0864  0.033158  0.0098105  0.00877109  -0.105938  -0.0146271  -0.0176047  -0.0528417  -0.00166081  0.0095851  -4.4833e-05  -0.00310542  0.00324588  -0.000245675  -0.00204284  0.00193619
1.33889  0.0182242  0.00108934  0.00118457  -0.11583  -0.0103983  -0.020969  -0.0660965  -0.00452514  0.0125257  -0.000828526  -0.00664216  0.00704904  -0.00032249  -0.00509617  0.00397101
1.61796  0.00865179  -0.0109043  -0.00977178  -0.118319  -0.00315286  -0.0228217  -0.074959  -0.0087752  0.0138297  -0.00284336  -0.0119941  0.0136359  -0.000180351  -0.0109937  0.00671921
1.9236  0.00354049  -0.024588  -0.0230364  -0.114338  0.00607311  -0.023079  -0.0774137  -0.0139895  0.0121613  -0.00690554  -0.018973  0.0240888  0.000460013  -0.0209961  0.00966602
2.25582  0.001253  -0.0382353  -0.037584  -0.105225  0.0159059  -0.0218797  -0.0708149  -0.0194669  0.00536495  -0.0146837  -0.027208  0.040627  0.0021863  -0.0374221  0.0118517
2.61462  0.000374201  -0.0490079  -0.0517566  -0.0931313  0.0237608  -0.019677  -0.0511166  -0.023737  -0.0101657  -0.0292264  -0.0358215  0.0671285  0.00594782  -0.0640321  0.0114219
3  9.10323e-05  -0.0525087  -0.0639376  -0.0802084  0.0251881  -0.0171383  -0.00767719  -0.0239381  -0.0432517  -0.058157  -0.043373  0.113195  0.0139107  -0.10958  0.00438578
