#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  8.9416  0.000752038  0.000477504  -0.000237259  -3.27325e-05  -1.30445e-06  -4.19174e-06  9.78572e-09  2.88619e-08  1.97701e-09  1.97701e-09  8.13711e-10  -2.41524e-09  9.86758e-10  -3.37445e-09
0.0232889  8.91706  0.00172565  0.00109699  -0.00126207  -0.00017371  -1.60026e-05  -5.16354e-05  1.85689e-07  1.09184e-06  2.11267e-08  3.86287e-08  -9.43773e-09  -1.24713e-09  -6.66783e-10  -4.78125e-09
0.0631556  8.70101  0.0042153  0.00269921  -0.00809876  -0.00109711  -0.000263295  -0.000856479  6.62588e-06  4.61884e-05  2.07542e-06  3.27731e-06  -9.9485e-08  -7.5645e-08  4.79294e-08  8.51807e-09
0.1296  7.79615  0.00653188  0.00424643  -0.0237378  -0.00309371  -0.00135634  -0.00450196  3.40658e-05  0.000421719  3.21649e-05  4.18459e-05  -1.45541e-06  -1.95639e-06  1.74999e-06  6.91662e-07
0.222622  5.93799  0.00747531  0.00499473  -0.0418865  -0.00523776  -0.00330028  -0.0111661  -9.69145e-06  0.00138977  0.000127413  0.000114543  7.16824e-06  -1.13158e-05  7.82683e-06  7.77184e-06
0.342222  3.81701  0.00743769  0.00526596  -0.0584016  -0.0070509  -0.00573379  -0.0194772  -0.000265587  0.00285822  0.000249831  7.60928e-05  9.49648e-05  -3.01051e-05  -1.92804e-06  3.53664e-05
0.4884  2.13352  0.00672745  0.00517355  -0.0733913  -0.00838643  -0.0085877  -0.0289848  -0.000784131  0.0048042  0.000344734  -0.000250507  0.00041935  -6.06576e-05  -9.38888e-05  0.000118575
0.661156  1.06359  0.00499941  0.00417123  -0.0871078  -0.00893378  -0.0117404  -0.0394049  -0.00163115  0.00714773  0.000338078  -0.00105018  0.00125789  -0.000109035  -0.000426998  0.000354081
0.860489  0.480332  0.00157226  0.00144709  -0.0988773  -0.00825106  -0.0149155  -0.0501022  -0.00298694  0.00959059  6.76102e-05  -0.0025676  0.00302012  -0.000166296  -0.00132995  0.00092289
1.0864  0.198117  -0.00408105  -0.00359899  -0.107499  -0.0059031  -0.017748  -0.059983  -0.00509269  0.0116234  -0.000755794  -0.0051252  0.00625122  -0.000181827  -0.00338284  0.00203004
1.33889  0.0748635  -0.0120408  -0.0111657  -0.111918  -0.00166346  -0.0198665  -0.0675006  -0.00810369  0.012497  -0.00259286  -0.00902942  0.0116885  -3.784e-05  -0.00748837  0.00376465
1.61796  0.025917  -0.0218458  -0.0210571  -0.111632  0.00429712  -0.0209836  -0.0706822  -0.0119542  0.011102  -0.00618938  -0.0144197  0.0204073  0.000491846  -0.0149465  0.00593509
1.9236  0.00820268  -0.0324174  -0.0326956  -0.106825  0.0112267  -0.0209787  -0.0669811  -0.0162349  0.00572119  -0.0128155  -0.0211467  0.0341044  0.00181446  -0.027621  0.00789969
2.25582  0.00236387  -0.0418377  -0.0450559  -0.0984445  0.0174908  -0.0199762  -0.0527281  -0.0200041  -0.00647876  -0.0247498  -0.0286705  0.0556525  0.00463902  -0.0483756  0.00833989
2.61462  0.000616043  -0.0467681  -0.0564511  -0.088411  0.0199321  -0.0184613  -0.0217837  -0.0213935  -0.0305519  -0.0463096  -0.0358767  0.090311  0.0102142  -0.0821463  0.00481119
3  0.000144402  -0.0463118  -0.0665686  -0.076203  0.0175547  -0.01801  0.0312191  -0.0189586  -0.0701477  -0.0809418  -0.0442457  0.141744  0.0219786  -0.13199  -0.00564615
