#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  0.000856284  0.000253526  0.000200819  -2.41785e-05  -5.9248e-06  -5.4279e-08  -1.41057e-07  -2.63245e-09  1.91259e-09  -9.53043e-10  9.53042e-10  1.08139e-09  3.7093e-09  -5.67224e-10  6.5705e-09
0.0232889  0.00199295  0.00059069  0.000467952  -0.000131099  -3.21076e-05  -7.36561e-07  -1.81772e-06  1.05334e-08  1.62093e-08  4.20839e-09  -2.30164e-09  2.50227e-10  -3.47319e-09  4.17652e-09  4.47088e-09
0.0631556  0.00537843  0.00160691  0.0012747  -0.000959752  -0.000234683  -1.46033e-05  -3.61851e-05  1.92166e-07  6.27769e-07  -2.30786e-09  9.55947e-10  -2.22125e-09  -6.56423e-10  8.31316e-09  -3.39345e-09
0.1296  0.0108397  0.00333234  0.00265547  -0.00397484  -0.000966118  -0.000122933  -0.000305747  3.23014e-06  1.07885e-05  1.57031e-07  2.38796e-08  4.90967e-08  -1.3089e-08  -4.69136e-09  -6.05607e-10
0.222622  0.0177763  0.00583466  0.00469595  -0.0112519  -0.00269373  -0.000583739  -0.00146599  2.45276e-05  8.70104e-05  2.0952e-06  2.25286e-07  1.12796e-06  -1.96884e-07  -1.29537e-07  2.32184e-07
0.342222  0.0248181  0.00908855  0.00742719  -0.0245167  -0.00569263  -0.00186956  -0.0047824  0.000103773  0.000418838  1.44361e-05  -1.90377e-06  1.27264e-05  -2.04815e-06  -2.19216e-06  3.87059e-06
0.4884  0.0297726  0.0125828  0.01047  -0.0437128  -0.00962135  -0.00443806  -0.0116849  0.000261364  0.00136734  5.90031e-05  -3.59018e-05  8.41722e-05  -1.25012e-05  -2.10195e-05  3.41903e-05
0.661156  0.0304323  0.0150208  0.0127356  -0.0662495  -0.0133774  -0.0083052  -0.0227279  0.000356635  0.00328342  0.000152874  -0.000239389  0.000369793  -4.87157e-05  -0.000126948  0.000183256
0.860489  0.0261852  0.0147396  0.0127499  -0.0879977  -0.0155211  -0.0128845  -0.0369148  -7.48949e-06  0.00618127  0.000247078  -0.000960787  0.00119088  -0.000132178  -0.000536124  0.000663885
1.0864  0.0188473  0.0105798  0.00938694  -0.105225  -0.0149161  -0.017292  -0.0520728  -0.0013493  0.00959798  0.000158554  -0.00273641  0.00305096  -0.000264275  -0.00172012  0.00177269
1.33889  0.0113748  0.00233398  0.00225914  -0.115751  -0.0110655  -0.0207451  -0.0656768  -0.00405191  0.0126957  -0.000470559  -0.00609239  0.00664042  -0.000386842  -0.00447976  0.00373307
1.61796  0.0058048  -0.00935475  -0.00835728  -0.118949  -0.00412006  -0.0227475  -0.0752902  -0.00819306  0.0143431  -0.00223361  -0.011324  0.0129097  -0.000329816  -0.00998335  0.00649812
1.9236  0.00253073  -0.0232012  -0.0217086  -0.115299  0.00515897  -0.0231036  -0.0784461  -0.0134711  0.0129848  -0.00613049  -0.0183812  0.0232732  0.000254669  -0.0198611  0.00958127
2.25582  0.000950928  -0.0372867  -0.0366472  -0.106074  0.0152763  -0.021911  -0.0720878  -0.019105  0.00623499  -0.0139509  -0.0268263  0.0400406  0.00198272  -0.0365162  0.0118857
2.61462  0.000309518  -0.0487065  -0.0515492  -0.0933179  0.0235801  -0.0196096  -0.0514574  -0.0235723  -0.00996668  -0.029061  -0.0357366  0.0673294  0.00590498  -0.0639237  0.0113949
3  8.71986e-05  -0.0525087  -0.0639376  -0.0802084  0.0251881  -0.0171383  -0.00767719  -0.0239381  -0.0432517  -0.058157  -0.043373  0.113195  0.0139107  -0.10958  0.00438578
