#x [fm] 	 y [fm] 	 ux 	 uy 	 gamma 
-9.80445	-9.80445	0	0	0
-9.60436	-9.80445	0	0	0
-9.40427	-9.80445	0	0	0
-9.20418	-9.80445	0	0	0
-9.00408	-9.80445	0	0	0
-8.80399	-9.80445	0	0	0
-8.6039	-9.80445	0	0	0
-8.40381	-9.80445	0	0	0
-8.20372	-9.80445	0	0	0
-8.00363	-9.80445	0	0	0
-7.80354	-9.80445	0	0	0
-7.60345	-9.80445	0	0	0
-7.40336	-9.80445	0	0	0
-7.20327	-9.80445	0	0	0
-7.00318	-9.80445	0	0	0
-6.80309	-9.80445	0	0	0
-6.603	-9.80445	0	0	0
-6.4029	-9.80445	0	0	0
-6.20281	-9.80445	0	0	0
-6.00272	-9.80445	0	0	0
-5.80263	-9.80445	0	0	0
-5.60254	-9.80445	0	0	0
-5.40245	-9.80445	0	0	0
-5.20236	-9.80445	0	0	0
-5.00227	-9.80445	0	0	0
-4.80218	-9.80445	0	0	0
-4.60209	-9.80445	0	0	0
-4.402	-9.80445	0	0	0
-4.20191	-9.80445	0	0	0
-4.00182	-9.80445	0	0	0
-3.80172	-9.80445	0	0	0
-3.60163	-9.80445	0	0	0
-3.40154	-9.80445	0	0	0
-3.20145	-9.80445	0	0	0
-3.00136	-9.80445	0	0	0
-2.80127	-9.80445	0	0	0
-2.60118	-9.80445	0	0	0
-2.40109	-9.80445	0	0	0
-2.201	-9.80445	0	0	0
-2.00091	-9.80445	0	0	0
-1.80082	-9.80445	0	0	0
-1.60073	-9.80445	0	0	0
-1.40064	-9.80445	0	0	0
-1.20054	-9.80445	0	0	0
-1.00045	-9.80445	0	0	0
-0.800363	-9.80445	0	0	0
-0.600272	-9.80445	0	0	0
-0.400182	-9.80445	0	0	0
-0.200091	-9.80445	0	0	0
0	-9.80445	0	0	0
0.200091	-9.80445	0	0	0
0.400182	-9.80445	0	0	0
0.600272	-9.80445	0	0	0
0.800363	-9.80445	0	0	0
1.00045	-9.80445	0	0	0
1.20054	-9.80445	0	0	0
1.40064	-9.80445	0	0	0
1.60073	-9.80445	0	0	0
1.80082	-9.80445	0	0	0
2.00091	-9.80445	0	0	0
2.201	-9.80445	0	0	0
2.40109	-9.80445	0	0	0
2.60118	-9.80445	0	0	0
2.80127	-9.80445	0	0	0
3.00136	-9.80445	0	0	0
3.20145	-9.80445	0	0	0
3.40154	-9.80445	0	0	0
3.60163	-9.80445	0	0	0
3.80172	-9.80445	0	0	0
4.00182	-9.80445	0	0	0
4.20191	-9.80445	0	0	0
4.402	-9.80445	0	0	0
4.60209	-9.80445	0	0	0
4.80218	-9.80445	0	0	0
5.00227	-9.80445	0	0	0
5.20236	-9.80445	0	0	0
5.40245	-9.80445	0	0	0
5.60254	-9.80445	0	0	0
5.80263	-9.80445	0	0	0
6.00272	-9.80445	0	0	0
6.20281	-9.80445	0	0	0
6.4029	-9.80445	0	0	0
6.603	-9.80445	0	0	0
6.80309	-9.80445	0	0	0
7.00318	-9.80445	0	0	0
7.20327	-9.80445	0	0	0
7.40336	-9.80445	0	0	0
7.60345	-9.80445	0	0	0
7.80354	-9.80445	0	0	0
8.00363	-9.80445	0	0	0
8.20372	-9.80445	0	0	0
8.40381	-9.80445	0	0	0
8.6039	-9.80445	0	0	0
8.80399	-9.80445	0	0	0
9.00408	-9.80445	0	0	0
9.20418	-9.80445	0	0	0
9.40427	-9.80445	0	0	0
9.60436	-9.80445	0	0	0
9.80445	-9.80445	0	0	0
10.0045	-9.80445	0	0	0
-9.80445	-9.60436	0	0	0
-9.60436	-9.60436	0	0	0
-9.40427	-9.60436	0	0	0
-9.20418	-9.60436	0	0	0
-9.00408	-9.60436	0	0	0
-8.80399	-9.60436	0	0	0
-8.6039	-9.60436	0	0	0
-8.40381	-9.60436	0	0	0
-8.20372	-9.60436	0	0	0
-8.00363	-9.60436	0	0	0
-7.80354	-9.60436	0	0	0
-7.60345	-9.60436	0	0	0
-7.40336	-9.60436	0	0	0
-7.20327	-9.60436	0	0	0
-7.00318	-9.60436	0	0	0
-6.80309	-9.60436	0	0	0
-6.603	-9.60436	0	0	0
-6.4029	-9.60436	0	0	0
-6.20281	-9.60436	0	0	0
-6.00272	-9.60436	0	0	0
-5.80263	-9.60436	0	0	0
-5.60254	-9.60436	0	0	0
-5.40245	-9.60436	0	0	0
-5.20236	-9.60436	0	0	0
-5.00227	-9.60436	0	0	0
-4.80218	-9.60436	0	0	0
-4.60209	-9.60436	0	0	0
-4.402	-9.60436	0	0	0
-4.20191	-9.60436	0	0	0
-4.00182	-9.60436	0	0	0
-3.80172	-9.60436	0	0	0
-3.60163	-9.60436	0	0	0
-3.40154	-9.60436	0	0	0
-3.20145	-9.60436	0	0	0
-3.00136	-9.60436	0	0	0
-2.80127	-9.60436	0	0	0
-2.60118	-9.60436	0	0	0
-2.40109	-9.60436	0	0	0
-2.201	-9.60436	0	0	0
-2.00091	-9.60436	0	0	0
-1.80082	-9.60436	0	0	0
-1.60073	-9.60436	0	0	0
-1.40064	-9.60436	0	0	0
-1.20054	-9.60436	0	0	0
-1.00045	-9.60436	0	0	0
-0.800363	-9.60436	0	0	0
-0.600272	-9.60436	0	0	0
-0.400182	-9.60436	0	0	0
-0.200091	-9.60436	0	0	0
0	-9.60436	0	0	0
0.200091	-9.60436	0	0	0
0.400182	-9.60436	0	0	0
0.600272	-9.60436	0	0	0
0.800363	-9.60436	0	0	0
1.00045	-9.60436	0	0	0
1.20054	-9.60436	0	0	0
1.40064	-9.60436	0	0	0
1.60073	-9.60436	0	0	0
1.80082	-9.60436	0	0	0
2.00091	-9.60436	0	0	0
2.201	-9.60436	0	0	0
2.40109	-9.60436	0	0	0
2.60118	-9.60436	0	0	0
2.80127	-9.60436	0	0	0
3.00136	-9.60436	0	0	0
3.20145	-9.60436	0	0	0
3.40154	-9.60436	0	0	0
3.60163	-9.60436	0	0	0
3.80172	-9.60436	0	0	0
4.00182	-9.60436	0	0	0
4.20191	-9.60436	0	0	0
4.402	-9.60436	0	0	0
4.60209	-9.60436	0	0	0
4.80218	-9.60436	0	0	0
5.00227	-9.60436	0	0	0
5.20236	-9.60436	0	0	0
5.40245	-9.60436	0	0	0
5.60254	-9.60436	0	0	0
5.80263	-9.60436	0	0	0
6.00272	-9.60436	0	0	0
6.20281	-9.60436	0	0	0
6.4029	-9.60436	0	0	0
6.603	-9.60436	0	0	0
6.80309	-9.60436	0	0	0
7.00318	-9.60436	0	0	0
7.20327	-9.60436	0	0	0
7.40336	-9.60436	0	0	0
7.60345	-9.60436	0	0	0
7.80354	-9.60436	0	0	0
8.00363	-9.60436	0	0	0
8.20372	-9.60436	0	0	0
8.40381	-9.60436	0	0	0
8.6039	-9.60436	0	0	0
8.80399	-9.60436	0	0	0
9.00408	-9.60436	0	0	0
9.20418	-9.60436	0	0	0
9.40427	-9.60436	0	0	0
9.60436	-9.60436	0	0	0
9.80445	-9.60436	0	0	0
10.0045	-9.60436	0	0	0
-9.80445	-9.40427	0	0	0
-9.60436	-9.40427	0	0	0
-9.40427	-9.40427	0	0	0
-9.20418	-9.40427	0	0	0
-9.00408	-9.40427	0	0	0
-8.80399	-9.40427	0	0	0
-8.6039	-9.40427	0	0	0
-8.40381	-9.40427	0	0	0
-8.20372	-9.40427	0	0	0
-8.00363	-9.40427	0	0	0
-7.80354	-9.40427	0	0	0
-7.60345	-9.40427	0	0	0
-7.40336	-9.40427	0	0	0
-7.20327	-9.40427	0	0	0
-7.00318	-9.40427	0	0	0
-6.80309	-9.40427	0	0	0
-6.603	-9.40427	0	0	0
-6.4029	-9.40427	0	0	0
-6.20281	-9.40427	0	0	0
-6.00272	-9.40427	0	0	0
-5.80263	-9.40427	0	0	0
-5.60254	-9.40427	0	0	0
-5.40245	-9.40427	0	0	0
-5.20236	-9.40427	0	0	0
-5.00227	-9.40427	0	0	0
-4.80218	-9.40427	0	0	0
-4.60209	-9.40427	0	0	0
-4.402	-9.40427	0	0	0
-4.20191	-9.40427	0	0	0
-4.00182	-9.40427	0	0	0
-3.80172	-9.40427	0	0	0
-3.60163	-9.40427	0	0	0
-3.40154	-9.40427	0	0	0
-3.20145	-9.40427	0	0	0
-3.00136	-9.40427	0	0	0
-2.80127	-9.40427	0	0	0
-2.60118	-9.40427	0	0	0
-2.40109	-9.40427	0	0	0
-2.201	-9.40427	0	0	0
-2.00091	-9.40427	0	0	0
-1.80082	-9.40427	0	0	0
-1.60073	-9.40427	0	0	0
-1.40064	-9.40427	0	0	0
-1.20054	-9.40427	0	0	0
-1.00045	-9.40427	0	0	0
-0.800363	-9.40427	0	0	0
-0.600272	-9.40427	0	0	0
-0.400182	-9.40427	0	0	0
-0.200091	-9.40427	0	0	0
0	-9.40427	0	0	0
0.200091	-9.40427	0	0	0
0.400182	-9.40427	0	0	0
0.600272	-9.40427	0	0	0
0.800363	-9.40427	0	0	0
1.00045	-9.40427	0	0	0
1.20054	-9.40427	0	0	0
1.40064	-9.40427	0	0	0
1.60073	-9.40427	0	0	0
1.80082	-9.40427	0	0	0
2.00091	-9.40427	0	0	0
2.201	-9.40427	0	0	0
2.40109	-9.40427	0	0	0
2.60118	-9.40427	0	0	0
2.80127	-9.40427	0	0	0
3.00136	-9.40427	0	0	0
3.20145	-9.40427	0	0	0
3.40154	-9.40427	0	0	0
3.60163	-9.40427	0	0	0
3.80172	-9.40427	0	0	0
4.00182	-9.40427	0	0	0
4.20191	-9.40427	0	0	0
4.402	-9.40427	0	0	0
4.60209	-9.40427	0	0	0
4.80218	-9.40427	0	0	0
5.00227	-9.40427	0	0	0
5.20236	-9.40427	0	0	0
5.40245	-9.40427	0	0	0
5.60254	-9.40427	0	0	0
5.80263	-9.40427	0	0	0
6.00272	-9.40427	0	0	0
6.20281	-9.40427	0	0	0
6.4029	-9.40427	0	0	0
6.603	-9.40427	0	0	0
6.80309	-9.40427	0	0	0
7.00318	-9.40427	0	0	0
7.20327	-9.40427	0	0	0
7.40336	-9.40427	0	0	0
7.60345	-9.40427	0	0	0
7.80354	-9.40427	0	0	0
8.00363	-9.40427	0	0	0
8.20372	-9.40427	0	0	0
8.40381	-9.40427	0	0	0
8.6039	-9.40427	0	0	0
8.80399	-9.40427	0	0	0
9.00408	-9.40427	0	0	0
9.20418	-9.40427	0	0	0
9.40427	-9.40427	0	0	0
9.60436	-9.40427	0	0	0
9.80445	-9.40427	0	0	0
10.0045	-9.40427	0	0	0
-9.80445	-9.20418	0	0	0
-9.60436	-9.20418	0	0	0
-9.40427	-9.20418	0	0	0
-9.20418	-9.20418	0	0	0
-9.00408	-9.20418	0	0	0
-8.80399	-9.20418	0	0	0
-8.6039	-9.20418	0	0	0
-8.40381	-9.20418	0	0	0
-8.20372	-9.20418	0	0	0
-8.00363	-9.20418	0	0	0
-7.80354	-9.20418	0	0	0
-7.60345	-9.20418	0	0	0
-7.40336	-9.20418	0	0	0
-7.20327	-9.20418	0	0	0
-7.00318	-9.20418	0	0	0
-6.80309	-9.20418	0	0	0
-6.603	-9.20418	0	0	0
-6.4029	-9.20418	0	0	0
-6.20281	-9.20418	0	0	0
-6.00272	-9.20418	0	0	0
-5.80263	-9.20418	0	0	0
-5.60254	-9.20418	0	0	0
-5.40245	-9.20418	0	0	0
-5.20236	-9.20418	0	0	0
-5.00227	-9.20418	0	0	0
-4.80218	-9.20418	0	0	0
-4.60209	-9.20418	0	0	0
-4.402	-9.20418	0	0	0
-4.20191	-9.20418	0	0	0
-4.00182	-9.20418	0	0	0
-3.80172	-9.20418	0	0	0
-3.60163	-9.20418	0	0	0
-3.40154	-9.20418	0	0	0
-3.20145	-9.20418	0	0	0
-3.00136	-9.20418	0	0	0
-2.80127	-9.20418	0	0	0
-2.60118	-9.20418	0	0	0
-2.40109	-9.20418	0	0	0
-2.201	-9.20418	0	0	0
-2.00091	-9.20418	0	0	0
-1.80082	-9.20418	0	0	0
-1.60073	-9.20418	0	0	0
-1.40064	-9.20418	0	0	0
-1.20054	-9.20418	0	0	0
-1.00045	-9.20418	0	0	0
-0.800363	-9.20418	0	0	0
-0.600272	-9.20418	0	0	0
-0.400182	-9.20418	0	0	0
-0.200091	-9.20418	0	0	0
0	-9.20418	0	0	0
0.200091	-9.20418	0	0	0
0.400182	-9.20418	0	0	0
0.600272	-9.20418	0	0	0
0.800363	-9.20418	0	0	0
1.00045	-9.20418	0	0	0
1.20054	-9.20418	0	0	0
1.40064	-9.20418	0	0	0
1.60073	-9.20418	0	0	0
1.80082	-9.20418	0	0	0
2.00091	-9.20418	0	0	0
2.201	-9.20418	0	0	0
2.40109	-9.20418	0	0	0
2.60118	-9.20418	0	0	0
2.80127	-9.20418	0	0	0
3.00136	-9.20418	0	0	0
3.20145	-9.20418	0	0	0
3.40154	-9.20418	0	0	0
3.60163	-9.20418	0	0	0
3.80172	-9.20418	0	0	0
4.00182	-9.20418	0	0	0
4.20191	-9.20418	0	0	0
4.402	-9.20418	0	0	0
4.60209	-9.20418	0	0	0
4.80218	-9.20418	0	0	0
5.00227	-9.20418	0	0	0
5.20236	-9.20418	0	0	0
5.40245	-9.20418	0	0	0
5.60254	-9.20418	0	0	0
5.80263	-9.20418	0	0	0
6.00272	-9.20418	0	0	0
6.20281	-9.20418	0	0	0
6.4029	-9.20418	0	0	0
6.603	-9.20418	0	0	0
6.80309	-9.20418	0	0	0
7.00318	-9.20418	0	0	0
7.20327	-9.20418	0	0	0
7.40336	-9.20418	0	0	0
7.60345	-9.20418	0	0	0
7.80354	-9.20418	0	0	0
8.00363	-9.20418	0	0	0
8.20372	-9.20418	0	0	0
8.40381	-9.20418	0	0	0
8.6039	-9.20418	0	0	0
8.80399	-9.20418	0	0	0
9.00408	-9.20418	0	0	0
9.20418	-9.20418	0	0	0
9.40427	-9.20418	0	0	0
9.60436	-9.20418	0	0	0
9.80445	-9.20418	0	0	0
10.0045	-9.20418	0	0	0
-9.80445	-9.00408	0	0	0
-9.60436	-9.00408	0	0	0
-9.40427	-9.00408	0	0	0
-9.20418	-9.00408	0	0	0
-9.00408	-9.00408	0	0	0
-8.80399	-9.00408	0	0	0
-8.6039	-9.00408	0	0	0
-8.40381	-9.00408	0	0	0
-8.20372	-9.00408	0	0	0
-8.00363	-9.00408	0	0	0
-7.80354	-9.00408	0	0	0
-7.60345	-9.00408	0	0	0
-7.40336	-9.00408	0	0	0
-7.20327	-9.00408	0	0	0
-7.00318	-9.00408	0	0	0
-6.80309	-9.00408	0	0	0
-6.603	-9.00408	0	0	0
-6.4029	-9.00408	0	0	0
-6.20281	-9.00408	0	0	0
-6.00272	-9.00408	0	0	0
-5.80263	-9.00408	0	0	0
-5.60254	-9.00408	0	0	0
-5.40245	-9.00408	0	0	0
-5.20236	-9.00408	0	0	0
-5.00227	-9.00408	0	0	0
-4.80218	-9.00408	0	0	0
-4.60209	-9.00408	0	0	0
-4.402	-9.00408	0	0	0
-4.20191	-9.00408	0	0	0
-4.00182	-9.00408	0	0	0
-3.80172	-9.00408	0	0	0
-3.60163	-9.00408	0	0	0
-3.40154	-9.00408	0	0	0
-3.20145	-9.00408	0	0	0
-3.00136	-9.00408	0	0	0
-2.80127	-9.00408	0	0	0
-2.60118	-9.00408	0	0	0
-2.40109	-9.00408	0	0	0
-2.201	-9.00408	0	0	0
-2.00091	-9.00408	0	0	0
-1.80082	-9.00408	0	0	0
-1.60073	-9.00408	0	0	0
-1.40064	-9.00408	0	0	0
-1.20054	-9.00408	0	0	0
-1.00045	-9.00408	0	0	0
-0.800363	-9.00408	0	0	0
-0.600272	-9.00408	0	0	0
-0.400182	-9.00408	0	0	0
-0.200091	-9.00408	0	0	0
0	-9.00408	0	0	0
0.200091	-9.00408	0	0	0
0.400182	-9.00408	0	0	0
0.600272	-9.00408	0	0	0
0.800363	-9.00408	0	0	0
1.00045	-9.00408	0	0	0
1.20054	-9.00408	0	0	0
1.40064	-9.00408	0	0	0
1.60073	-9.00408	0	0	0
1.80082	-9.00408	0	0	0
2.00091	-9.00408	0	0	0
2.201	-9.00408	0	0	0
2.40109	-9.00408	0	0	0
2.60118	-9.00408	0	0	0
2.80127	-9.00408	0	0	0
3.00136	-9.00408	0	0	0
3.20145	-9.00408	0	0	0
3.40154	-9.00408	0	0	0
3.60163	-9.00408	0	0	0
3.80172	-9.00408	0	0	0
4.00182	-9.00408	0	0	0
4.20191	-9.00408	0	0	0
4.402	-9.00408	0	0	0
4.60209	-9.00408	0	0	0
4.80218	-9.00408	0	0	0
5.00227	-9.00408	0	0	0
5.20236	-9.00408	0	0	0
5.40245	-9.00408	0	0	0
5.60254	-9.00408	0	0	0
5.80263	-9.00408	0	0	0
6.00272	-9.00408	0	0	0
6.20281	-9.00408	0	0	0
6.4029	-9.00408	0	0	0
6.603	-9.00408	0	0	0
6.80309	-9.00408	0	0	0
7.00318	-9.00408	0	0	0
7.20327	-9.00408	0	0	0
7.40336	-9.00408	0	0	0
7.60345	-9.00408	0	0	0
7.80354	-9.00408	0	0	0
8.00363	-9.00408	0	0	0
