# GAMMA_Vn
0.0800 4.63166	0.0758382	0.106315	0.0804425	0.0645802	0.00469997
0.2400 1.20195	0.104558	0.192979	0.0926583	0.0864038	0.0768023
0.4000 0.45384	0.155102	0.101532	0.102561	0.0199947	0.125147
0.5600 0.195391	0.253498	0.2434	0.226006	0.100036	0.153317
0.7200 0.117432	0.217383	0.310033	0.109496	0.243953	0.164288
0.8800 0.0536922	0.175705	0.272888	0.208877	0.101274	0.323034
1.0400 0.0191292	0.693924	0.284655	0.357334	0.530467	0.341505
1.2000 0.012434	0.301292	0.303858	0.283083	0.440213	0.409716
1.3600 0.00548558	0.491715	0.35363	0.338167	0.592977	0.757662
1.5200 0	-nan	-nan	-nan	-nan	-nan
1.6800 0.00296047	0.540092	0.4166	0.990098	0.652888	0.284858
1.8400 0	-nan	-nan	-nan	-nan	-nan
2.0000 0	-nan	-nan	-nan	-nan	-nan
2.1600 0.00115129	1	1	1	1	1
2.3200 0	-nan	-nan	-nan	-nan	-nan
2.4800 0	-nan	-nan	-nan	-nan	-nan
2.6400 0	-nan	-nan	-nan	-nan	-nan
2.8000 0	-nan	-nan	-nan	-nan	-nan
2.9600 0	-nan	-nan	-nan	-nan	-nan
3.1200 0	-nan	-nan	-nan	-nan	-nan
3.2800 0	-nan	-nan	-nan	-nan	-nan
3.4400 0	-nan	-nan	-nan	-nan	-nan
3.6000 0	-nan	-nan	-nan	-nan	-nan
3.7600 0	-nan	-nan	-nan	-nan	-nan
3.9200 0	-nan	-nan	-nan	-nan	-nan
