# KAON_Vn
0.0800 1.95835	0.0329616	0.139909	0.16678	0.0978392	0.160404
0.2400 1.58533	0.0501978	0.100485	0.0854754	0.0594877	0.0746737
0.4000 1.40504	0.120491	0.0590605	0.0666413	0.0780527	0.0984818
0.5600 0.799327	0.0618217	0.0767707	0.0675848	0.0487668	0.0973314
0.7200 0.552621	0.0731254	0.0541144	0.0878581	0.0500406	0.0589983
0.8800 0.288242	0.0534174	0.0557484	0.102355	0.082906	0.203711
1.0400 0.155425	0.211313	0.116634	0.186355	0.103973	0.263957
1.2000 0.0953272	0.0919932	0.14536	0.087944	0.23074	0.0373397
1.3600 0.0639984	0.149059	0.306384	0.12291	0.0864506	0.141769
1.5200 0.0261768	0.100569	0.198106	0.10076	0.34192	0.138051
1.6800 0.0177628	0.482026	0.148688	0.342653	0.506122	0.286912
1.8400 0.0067576	0.217085	0.637625	0.37355	0.129515	0.436896
2.0000 0.00746039	0.300052	0.442623	0.0570948	0.151625	0.344726
2.1600 0.00690777	0.199981	0.262766	0.488785	0.237739	0.21296
2.3200 0	-nan	-nan	-nan	-nan	-nan
2.4800 0.00100274	1	1	1	1	1
2.6400 0.000941968	1	1	1	1	1
2.8000 0.000888141	1	1	1	1	1
2.9600 0	-nan	-nan	-nan	-nan	-nan
3.1200 0	-nan	-nan	-nan	-nan	-nan
3.2800 0.00075817	1	1	1	1	1
3.4400 0	-nan	-nan	-nan	-nan	-nan
3.6000 0	-nan	-nan	-nan	-nan	-nan
3.7600 0	-nan	-nan	-nan	-nan	-nan
3.9200 0	-nan	-nan	-nan	-nan	-nan
