# PION_Vn
0.0800 41.1565	0.0318052	0.0129993	0.0145232	0.0127556	0.0340205
0.2400 19.0447	0.0226133	0.0188229	0.00593266	0.00794868	0.0116088
0.4000 8.20643	0.0476157	0.0327103	0.0150443	0.0300281	0.016961
0.5600 3.56145	0.0215428	0.077045	0.0150919	0.0484714	0.0198346
0.7200 1.9549	0.0504581	0.0892255	0.0639159	0.0300226	0.0347547
0.8800 0.887334	0.0122951	0.0492301	0.0955726	0.0394091	0.0317606
1.0400 0.459101	0.0350618	0.170705	0.0402518	0.0475769	0.0414255
1.2000 0.263186	0.112945	0.13688	0.0463091	0.069506	0.0925952
1.3600 0.120683	0.106934	0.168187	0.0774061	0.215356	0.187633
1.5200 0.0801664	0.0505062	0.0493424	0.0798638	0.136133	0.210245
1.6800 0.0222035	0.323025	0.233644	0.318326	0.20252	0.140429
1.8400 0.0216243	0.313671	0.207335	0.248853	0.143774	0.232864
2.0000 0.00746039	0.270219	0.26774	0.544934	0.244549	0.334193
2.1600 0.00575647	0.565237	0.0308762	0.230577	0.48917	0.233501
2.3200 0.00428758	0.462802	0.560695	0.192989	0.500119	0.19689
2.4800 0.00300822	0.611628	0.388431	0.770739	0.490625	0.19025
2.6400 0.000941968	1	1	1	1	1
2.8000 0	-nan	-nan	-nan	-nan	-nan
2.9600 0	-nan	-nan	-nan	-nan	-nan
3.1200 0	-nan	-nan	-nan	-nan	-nan
3.2800 0	-nan	-nan	-nan	-nan	-nan
3.4400 0	-nan	-nan	-nan	-nan	-nan
3.6000 0	-nan	-nan	-nan	-nan	-nan
3.7600 0	-nan	-nan	-nan	-nan	-nan
3.9200 0	-nan	-nan	-nan	-nan	-nan
