# PROTON_Vn
0.0800 0.777124	0.127383	0.109763	0.193797	0.15802	0.153432
0.2400 0.652784	0.0170909	0.110433	0.241041	0.0786993	0.0983128
0.4000 0.571963	0.0858347	0.0969075	0.0473532	0.08088	0.0816865
0.5600 0.475156	0.00811493	0.0507312	0.067585	0.0702035	0.0613252
0.7200 0.317757	0.158009	0.0832435	0.156856	0.0667733	0.0426422
0.8800 0.245854	0.0735246	0.0548794	0.0667669	0.0877748	0.075001
1.0400 0.184119	0.146219	0.110783	0.0532804	0.171398	0.0899006
1.2000 0.118123	0.198565	0.13705	0.0575624	0.141209	0.0514599
1.3600 0.0713125	0.114049	0.128176	0.127027	0.196822	0.244356
1.5200 0.0441733	0.364779	0.145337	0.129896	0.145736	0.286484
1.6800 0.0340454	0.19351	0.19291	0.172822	0.256393	0.302213
1.8400 0.0202728	0.404678	0.182241	0.300019	0.168482	0.267017
2.0000 0.0136774	0.367493	0.254599	0.0518155	0.23937	0.177851
2.1600 0.00575647	0.354328	0.370611	0.274607	0.317998	0.493072
2.3200 0.00214379	0.107466	0.976902	0.317433	0.908676	0.512737
2.4800 0	-nan	-nan	-nan	-nan	-nan
2.6400 0.000941968	1	1	1	1	1
2.8000 0.000888141	1	1	1	1	1
2.9600 0	-nan	-nan	-nan	-nan	-nan
3.1200 0.0015941	0.367662	0.729649	0.904191	0.0647765	0.951822
3.2800 0.00075817	1	1	1	1	1
3.4400 0	-nan	-nan	-nan	-nan	-nan
3.6000 0	-nan	-nan	-nan	-nan	-nan
3.7600 0	-nan	-nan	-nan	-nan	-nan
3.9200 0	-nan	-nan	-nan	-nan	-nan
