# UNIDENTIFIED CHARGED HADRONS Vn
0.0800 43.8919	0.0315218	0.0202798	0.00357426	0.0101176	0.0372779
0.2400 21.2828	0.0242679	0.02236	0.00430583	0.00196253	0.0056724
0.4000 10.1834	0.0213077	0.026484	0.00174043	0.0239493	0.0243947
0.5600 4.83593	0.0152737	0.0401285	0.0165763	0.0403183	0.0231952
0.7200 2.82528	0.0396374	0.0685266	0.0653967	0.0173664	0.0315585
0.8800 1.42143	0.0128432	0.0343049	0.0687622	0.040104	0.0156418
1.0400 0.798644	0.0636395	0.133587	0.0266051	0.0142909	0.0837121
1.2000 0.476636	0.086851	0.118203	0.00893481	0.0564246	0.0620123
1.3600 0.255994	0.0760835	0.0488366	0.0988071	0.0560177	0.0589353
1.5200 0.150517	0.127526	0.0919186	0.0204173	0.0551475	0.0333863
1.6800 0.0740118	0.279493	0.10457	0.0742162	0.153914	0.0930142
1.8400 0.0486547	0.0760515	0.0667334	0.273121	0.0535966	0.195225
2.0000 0.0285982	0.191183	0.0863654	0.144943	0.0564282	0.111093
2.1600 0.0184207	0.304269	0.0342453	0.187687	0.147376	0.220517
2.3200 0.00643137	0.278234	0.0484202	0.16645	0.493365	0.0821639
2.4800 0.00401096	0.652353	0.0707643	0.5406	0.457698	0.114969
2.6400 0.0028259	0.678541	0.027135	0.333127	0.0539819	0.604419
2.8000 0.00177628	0.986051	0.944591	0.876779	0.784506	0.670346
2.9600 0	-nan	-nan	-nan	-nan	-nan
3.1200 0.0015941	0.367662	0.729649	0.904191	0.0647765	0.951822
3.2800 0.00151634	0.540984	0.414672	0.989646	0.656094	0.279773
3.4400 0	-nan	-nan	-nan	-nan	-nan
3.6000 0	-nan	-nan	-nan	-nan	-nan
3.7600 0	-nan	-nan	-nan	-nan	-nan
3.9200 0	-nan	-nan	-nan	-nan	-nan
